Pos;Age;G;MP;AST;PTS;FG;FGA
C;22;34;25.3;1.3;7.9;3.4;8.1
C;28;44;25.7;3;6.7;2.6;4.9
C;24;21;32.9;3.2;18.7;6.9;13.3
PF;21;25;10.5;0.5;3.4;1.4;3.8
C;36;32;23.1;0.9;13.8;5.9;10.3
SG;23;42;26.5;2.6;12.6;4.7;12.8
SG;26;41;28.1;1.3;11.8;4.1;9.6
C;23;39;32.7;1.8;16.3;6.7;9.6
PG;23;18;9.2;1.6;3.1;1.1;3.1
SF;28;3;10;1;2.7;0.7;3.7
PF;28;38;22.4;2.6;8.2;3.2;7.4
PF;27;39;32.7;6;28.6;9.9;18.7
SF;29;28;11.9;0.7;3.3;1.4;2.9
PF;37;43;26.9;1;13.4;4.6;10.6
PG;21;33;33.2;5.8;18.2;6.2;15.8
SF;24;28;36.5;2.3;18.9;7;16
SF;36;12;19.2;1.3;3.7;1.3;3.3
PG;34;33;15;2.2;5.5;1.7;4
SF;21;46;22.5;1.6;7.2;2.6;6
SG;21;7;2.9;0.6;0.3;0.1;0.9
C;23;28;29.9;1.5;16.8;7.3;11.5
C;22;7;7.3;0;1.6;0.7;1
PF;22;26;21.9;0.6;9.4;3.8;8.2
PG;20;39;31.8;7.7;19;6.9;16.5
PG;24;35;34.6;5.1;13;4.6;10.9
C;23;36;27.5;1.5;10.4;4.1;9
SF;23;45;29.9;2.4;17.7;6.7;14.3
SF;22;33;11.7;1.7;3.7;1.5;3.6
PG;27;3;4.3;1;0;0;1.3
PF;29;42;33.5;2.4;16.3;5;11
PF;20;36;35.5;3.4;14.8;5.9;12.5
SF;21;39;32.3;2.4;16.9;6.1;14.6
SG;31;39;32.8;4.2;15.3;5.8;13.4
SF;26;2;3.5;0;3;1;3
PF;21;21;7.2;0.3;3;1.3;1.9
SF;26;38;17.3;0.7;5.7;2.3;4.6
PF;33;27;26.1;1.6;9.3;3.4;6.7
SF;32;25;16.6;0.9;4;1.4;4.2
PF;21;40;26;1.2;9;3.4;8.5
SG;28;37;36;6.5;23.7;8.9;19.7
SG;25;45;26.9;1.6;12.4;4.4;11.9
C;27;1;2;0;0;0;0
SF;27;39;19.3;1.2;5.5;2.4;4.2
PF;29;31;15.4;0.5;6.1;1.9;5.3
PG;33;32;26.1;5;8.7;3.1;7.6
SF;22;45;33.5;2.5;15.2;5.2;13.7
C;29;23;21;1.2;5.8;2.2;4.5
C;22;26;9;0.4;3.5;1.3;3.2
C;29;7;18.9;0.9;8.6;3.4;5
C;33;46;15.2;1.7;6.4;2.3;5.3
PG;32;47;25.9;4.1;10;3.7;8.8
SF;26;6;6;0.3;2;0.7;1.8
SG;29;28;28.7;2.6;12;4.4;10.8
PF;32;45;30.8;1.8;18.1;6.2;13.1
PF;22;13;6.2;0.4;2.5;1.2;2.1
SF;21;24;7.8;0.5;1.2;0.4;1.3
SF;22;12;5.3;0.3;0.9;0.3;1.1
SG;25;37;33;4.5;24.6;8.8;19.7
SG;20;30;16.2;0.9;6.7;2.4;6.8
PF;29;41;19.8;0.3;9.2;3.3;7.4
SG;21;19;8.1;0.8;3.6;1.3;3.6
SG;31;38;23.7;0.9;6.8;2.6;6.1
C;24;31;12.5;0.6;3.8;1.7;2.9
SF;23;20;8.4;0.7;2.3;0.8;2.6
SF;25;44;34;1.9;12;4.8;9.5
PF;23;44;36;3.6;20.1;7.6;15.8
SF;23;35;18.6;0.7;6.3;2.4;5.6
PG;29;28;33.4;5.9;18.5;6.6;14.7
SG;23;36;17.7;1.4;7;2.4;6.6
SF;26;21;28;2.7;18.4;6.9;16.2
SF;25;36;21.6;1.2;6.6;2.8;5.8
SG;24;8;14.4;0.4;2.1;0.6;3
SG;23;3;27.7;1.3;9.7;3;8.3
SF;20;18;4.7;0.3;1.8;0.7;1.7
SF;25;33;34.8;3.1;24;8.7;19.2
C;22;25;6.6;0;3.2;1.1;2
SG;26;36;14.3;0.8;3.9;1.4;3.6
SF;22;33;15.7;1.2;4.4;1.7;4
PG;25;45;31.2;5.5;15.9;6.4;12.8
C;24;5;13;0.6;6.4;2.6;5.4
PG;25;2;5;1;1;0.5;2
SF;30;38;23.6;1.2;6.3;2.2;5.9
PG;29;22;12.2;1.9;6.6;2.5;6.1
SG;30;45;27.5;2.5;11.5;3.5;9
SG;21;20;5.7;0.7;2.6;0.9;2.6
SF;32;28;33.3;5.9;21.4;7.1;14.9
PF;25;7;8.3;0.3;4;2;3
SG;28;43;29.7;1.8;11.5;4.1;10
PG;30;43;21.8;4;6.4;2.1;5.6
PF;24;14;10.9;0.9;4.3;1.6;2.8
C;27;37;29.6;1.5;11.6;5.2;9.1
C;20;3;4.7;0;2.7;1;2
PG;26;34;11.6;0.9;2.8;1;3.3
C;22;38;29.1;2.7;13.3;5;10.1
SG;27;28;27.7;3.9;8.4;2.8;6.5
C;28;18;9.8;0.5;1.9;0.9;1.9
PG;25;1;1;0;2;1;1
SF;20;26;8.9;0.3;2.6;1;2.2
SF;26;1;5;0;0;0;3
PG;26;23;10.7;1.7;2;0.7;2.5
PF;24;13;11.3;0.3;6.5;2.6;4.3
SG;20;39;15.9;1.6;6.9;2.6;5.6
PF;27;13;10.5;0.4;3.3;1.1;2.6
PF;25;34;18.4;1.4;9.8;4.2;6.5
SG;29;45;26.1;2.2;15.3;5.6;13.9
C;22;20;22.2;1;9.2;4;6.1
SG;24;34;20.4;1.6;7.1;2.3;5
PF;24;40;32.2;2;17.2;6.5;12
PG;34;3;12.3;0.7;1.3;0.7;2.3
PG;34;41;28.5;5.2;14.1;4.9;10.7
SG;29;45;27.6;1.4;10.4;3.7;7.9
PF;24;10;11.9;0.3;4.4;1.5;2.3
PG;20;10;3.5;0.5;0.7;0.3;1.4
PF;26;13;2.9;0.2;1.1;0.4;1.2
C;31;17;16.9;1.1;9.1;3.2;6.9
PF;31;42;29.1;1.1;7.7;2.7;6.9
SF;31;41;17.9;1.1;5.8;2.3;4.8
PF;31;38;28.2;1.4;9.4;3.2;7.9
